company_code,company_shortName,fund_type,fund_scale,fund_scale_mean,fund_scale_rank,fund_amount,fund_amount_mean,fund_amount_rank,fund_manager_amount,fund_manager_amount_mean,fund_manager_amount_rank
80106677,民生,混合型,587.98,360.46,24/158,56,34.22,28/158,15,11.59,44/158
80106677,民生,股票型,100.04,165.01,32/115,15,17.48,34/115,6,5.72,26/115
80664536,明亚,,-,-,-/-,-,-,-/-,-,-,-/-
80664536,明亚,混合型,0.67,360.46,147/158,2,34.22,145/158,2,11.59,129/158
80036797,摩根士丹利,混合型,73.88,360.46,75/158,19,34.22,83/158,10,11.59,69/158
80036797,摩根士丹利,股票型,39.67,165.01,48/115,6,17.48,65/115,5,5.72,35/115
80560381,凯石,混合型,7.93,360.46,125/158,6,34.22,120/158,3,11.59,113/158
80560381,凯石,,-,-,-/-,-,-,-/-,-,-,-/-
80086876,金元顺安,混合型,8.88,360.46,122/158,9,34.22,105/158,6,11.59,86/158
80086876,金元顺安,,-,-,-/-,-,-,-/-,-,-,-/-
80000245,金鹰,股票型,21.73,165.01,59/115,6,17.48,65/115,4,5.72,42/115
80000245,金鹰,混合型,226.97,360.46,49/158,43,34.22,46/158,12,11.59,56/158
80384640,九泰,混合型,77.94,360.46,74/158,40,34.22,50/158,12,11.59,56/158
80384640,九泰,股票型,16.10,165.01,62/115,9,17.48,52/115,2,5.72,76/115
80446423,金信,混合型,23.01,360.46,106/158,12,34.22,94/158,4,11.59,104/158
80446423,金信,股票型,1.99,165.01,93/115,2,17.48,91/115,1,5.72,92/115
80205264,江信,混合型,0.56,360.46,149/158,4,34.22,136/158,3,11.59,113/158
80205264,江信,,-,-,-/-,-,-,-/-,-,-,-/-
80365987,嘉合,股票型,1.71,165.01,94/115,2,17.48,91/115,2,5.72,76/115
80000251,景顺长城,混合型,"1,968.46",360.46,9/158,81,34.22,18/158,22,11.59,21/158
80000251,景顺长城,股票型,294.25,165.01,18/115,29,17.48,22/115,12,5.72,16/115
80365987,嘉合,混合型,13.17,360.46,115/158,17,34.22,87/158,7,11.59,80/158
80065990,建信,混合型,219.88,360.46,52/158,54,34.22,32/158,22,11.59,21/158
80065990,建信,股票型,169.73,165.01,23/115,53,17.48,13/115,19,5.72,7/115
80064562,交银,股票型,70.77,165.01,38/115,10,17.48,50/115,3,5.72,53/115
80064562,交银,混合型,"1,926.67",360.46,10/158,62,34.22,25/158,22,11.59,21/158
80000223,嘉实,混合型,"2,089.70",360.46,8/158,103,34.22,11/158,35,11.59,8/158
80000223,嘉实,股票型,952.67,165.01,7/115,90,17.48,3/115,34,5.72,1/115
80975669,华融,混合型,0.26,360.46,153/158,2,34.22,145/158,2,11.59,129/158
80975669,华融,,-,-,-/-,-,-,-/-,-,-,-/-
