full_name,code,fund_url,type,publish_date,setup_date_and_scale,asset_scale,amount_scale,company,company_url,bank,bank_url,manager,manager_url,profit_situation,management_feerate,trustee_feerate,standard_compared,followed_target
鹏华创新驱动混合型证券投资基金,	005967,http://fundf10.eastmoney.com/jbgk_005967.html,混合型,2018年05月14日,2018年06月06日 / 18.804亿份,3.08亿元（截止至：2020年03月31日）,2.5618亿份,鹏华基金,http://fund.eastmoney.com/company/80000230.html,招商银行,http://fund.eastmoney.com/bank/10000020.html,梁浩,http://fund.eastmoney.com/manager/30079581.html,每份累计0.00元（0次）,1.50%（每年）,0.25%（每年）,中证沪港深互联互通综合指数收益率×80%+中证综合债指数收益率×20%,该基金无跟踪标的
华泰柏瑞医疗健康混合型证券投资基金,	005805,http://fundf10.eastmoney.com/jbgk_005805.html,混合型,2018年05月28日,2018年06月25日 / 3.696亿份,8.02亿元（截止至：2020年03月31日）,4.8416亿份,华泰柏瑞基金,http://fund.eastmoney.com/company/80055334.html,建设银行,http://fund.eastmoney.com/bank/80001068.html,张弘,http://fund.eastmoney.com/manager/30685819.html,每份累计0.00元（0次）,1.50%（每年）,0.25%（每年）,中证医药卫生指数收益率*65%+中债综合指数收益率*35%,该基金无跟踪标的
嘉实养老目标日期2030三年持有期混合型基金中基金(FOF),	006245,http://fundf10.eastmoney.com/jbgk_006245.html,混合-FOF,2019年05月20日,2019年08月05日 / 2.010亿份,2.28亿元（截止至：2020年03月31日）,2.1273亿份,嘉实基金,http://fund.eastmoney.com/company/80000223.html,农业银行,http://fund.eastmoney.com/bank/80001120.html,郑科,http://fund.eastmoney.com/manager/30652840.html,每份累计0.00元（0次）,0.80%（每年）,0.15%（每年）,中债总财富指数收益率*(1-X*0.85)+中证800指数收益率*X*0.85,该基金无跟踪标的
招商丰利灵活配置混合型证券投资基金,	000679,http://fundf10.eastmoney.com/jbgk_000679.html,混合型,2014年07月21日,2014年08月12日 / 7.276亿份,0.38亿元（截止至：2020年03月31日）,0.3102亿份,招商基金,http://fund.eastmoney.com/company/80036782.html,中国银行,http://fund.eastmoney.com/bank/80001122.html,贾仁栋,http://fund.eastmoney.com/manager/30489319.html,每份累计0.00元（0次）,1.50%（每年）,0.25%（每年）,1年期存款利率+3%(单利年化),该基金无跟踪标的
银华积极成长混合型证券投资基金,	005498,http://fundf10.eastmoney.com/jbgk_005498.html,混合型,2018年03月05日,2018年03月29日 / 4.889亿份,3.18亿元（截止至：2020年03月31日）,2.6651亿份,银华基金,http://fund.eastmoney.com/company/80000235.html,招商银行,http://fund.eastmoney.com/bank/10000020.html,孙蓓琳,http://fund.eastmoney.com/manager/30069921.html,每份累计0.00元（0次）,1.50%（每年）,0.25%（每年）,中证500指数收益率×75%+中证全债指数收益率×25%,该基金无跟踪标的
银华尊和养老目标日期2035三年持有期混合型基金中基金(FOF),	006305,http://fundf10.eastmoney.com/jbgk_006305.html,混合-FOF,2018年11月05日,2018年12月13日 / 2.103亿份,2.52亿元（截止至：2020年03月31日）,2.2728亿份,银华基金,http://fund.eastmoney.com/company/80000235.html,建设银行,http://fund.eastmoney.com/bank/80001068.html,肖侃宁,http://fund.eastmoney.com/manager/30040431.html,每份累计0.00元（0次）,0.90%（每年）,0.20%（每年）,沪深300指数收益率×40%+中证全债指数收益率×60%,该基金无跟踪标的
申万菱信盛利精选证券投资基金,	310308,http://fundf10.eastmoney.com/jbgk_310308.html,混合型,2004年03月08日,2004年04月09日 / 68.093亿份,10.03亿元（截止至：2020年03月31日）,9.5616亿份,申万菱信基金,http://fund.eastmoney.com/company/80045188.html,工商银行,http://fund.eastmoney.com/bank/80001067.html,孙琳,http://fund.eastmoney.com/manager/30164232.html,每份累计2.20元（11次）,1.50%（每年）,0.25%（每年）,沪深300 指数×75%+中债总指数(全价)×20%+1年定期存款利率×5%,该基金无跟踪标的
浙商大数据智选消费灵活配置混合型证券投资基金,	002967,http://fundf10.eastmoney.com/jbgk_002967.html,混合型,2016年12月12日,2017年01月11日 / 4.887亿份,2.28亿元（截止至：2020年03月31日）,1.5307亿份,浙商基金,http://fund.eastmoney.com/company/80156777.html,建设银行,http://fund.eastmoney.com/bank/80001068.html,查晓磊,http://fund.eastmoney.com/manager/30363639.html,每份累计0.00元（0次）,1.50%（每年）,0.25%（每年）,中证主要消费行业指数×60%+上证国债指数收益率×40%,该基金无跟踪标的
华泰柏瑞生物医药灵活配置混合型证券投资基金,	004905,http://fundf10.eastmoney.com/jbgk_004905.html,混合型,2017年07月17日,2017年08月16日 / 7.118亿份,10.55亿元（截止至：2020年03月31日）,5.9444亿份,华泰柏瑞基金,http://fund.eastmoney.com/company/80055334.html,中国银行,http://fund.eastmoney.com/bank/80001122.html,徐晓杰,http://fund.eastmoney.com/manager/30346940.html,每份累计0.00元（0次）,1.50%（每年）,0.25%（每年）,中证医药卫生指数收益率*70%+上证国债指数收益率*30%,该基金无跟踪标的
长城久鑫灵活配置混合型证券投资基金,	000649,http://fundf10.eastmoney.com/jbgk_000649.html,混合型,2014年06月26日,2014年07月30日 / 28.010亿份,0.61亿元（截止至：2020年03月31日）,0.4781亿份,长城基金,http://fund.eastmoney.com/company/80000239.html,中国银行,http://fund.eastmoney.com/bank/80001122.html,赵波,http://fund.eastmoney.com/manager/30283990.html,每份累计0.00元（0次）,1.50%（每年）,0.25%（每年）,55%沪深300指数收益率+45%中债总财富指数收益率,该基金无跟踪标的
广发龙头优选灵活配置混合型证券投资基金,	005910,http://fundf10.eastmoney.com/jbgk_005910.html,混合型,2018年07月05日,2018年08月08日 / 4.570亿份,0.92亿元（截止至：2020年03月31日）,0.6853亿份,广发基金,http://fund.eastmoney.com/company/80000248.html,建设银行,http://fund.eastmoney.com/bank/80001068.html,田文舟,http://fund.eastmoney.com/manager/30672366.html,每份累计0.00元（0次）,1.50%（每年）,0.25%（每年）,沪深300指数收益率×50%+中证全债指数收益率×50%,该基金无跟踪标的
