fund_type,code,name,today,net_value,accumulative_value,rate_day,rate_recent_week,rate_recent_month,rate_recent_3month,rate_recent_6month,rate_recent_year,rate_recent_2year,rate_recent_3year,rate_from_this_year,rate_from_begin,rate_buy,url
hh,	005954,人保转型新动力混合C,2020-04-24,1.1012,1.1012,-0.7391,0.4195,5.9559,2.6090,13.1060,13.3388,,,3.8476,10.12,0.00%,http://fund.eastmoney.com/	005954.html
hh,	006297,富国鑫旺稳健养老(FOF),2020-04-22,1.0773,1.0903,0.1487,0.4194,1.7569,1.5746,3.9620,7.3810,,,2.5928,9.0561,0.08%,http://fund.eastmoney.com/	006297.html
hh,	004946,汇添富盈润混合A,2020-04-24,1.2463,1.2463,-0.1362,0.4190,2.8640,4.1186,5.7441,9.4975,17.2547,,3.3759,24.63,0.12%,http://fund.eastmoney.com/	004946.html
hh,	952004,国泰君安君得明混合,2020-04-24,1.9205,2.8705,-1.1580,0.4183,6.9262,-1.8501,0.8824,,,,-2.9708,4.3750,1.00%,http://fund.eastmoney.com/	952004.html
hh,	162207,泰达宏利效率优选混合,2020-04-24,1.6116,3.8762,-1.2137,0.4175,7.6553,9.4020,13.4290,29.9992,21.1821,38.8233,9.3574,287.6179,0.15%,http://fund.eastmoney.com/	162207.html
hh,	004231,中欧行业成长混合(LOF)C,2020-04-24,1.5523,1.7503,-0.8052,0.4140,9.1939,2.6789,24.2237,34.9239,39.2739,74.4416,11.1644,88.6574,0.00%,http://fund.eastmoney.com/	004231.html
hh,	519175,浦银安盛经济带崛起混合,2020-04-24,1.1158,1.1408,-0.1521,0.4139,3.1716,0.8405,4.9585,11.0905,12.0726,13.8622,1.3142,14.0899,0.15%,http://fund.eastmoney.com/	519175.html
hh,	004393,安信合作创新灵活配置混合,2020-04-24,1.3877,1.3877,-0.5589,0.4124,6.4024,-1.2102,7.8999,6.7133,15.0091,36.3967,-3.1544,38.77,0.15%,http://fund.eastmoney.com/	004393.html
hh,	001654,国联安添鑫灵活配置混合C,2020-04-24,1.2221,1.2721,-0.1797,0.4109,9.5072,7.1830,12.6152,25.3051,19.1014,28.5069,4.9824,28.3574,0.15%,http://fund.eastmoney.com/	001654.html
hh,	004947,汇添富盈润混合C,2020-04-24,1.2278,1.2278,-0.1383,0.4089,2.8308,4.0156,5.5355,9.0796,16.3350,,3.2459,22.78,0.00%,http://fund.eastmoney.com/	004947.html
hh,	007255,华宝稳健养老(FOF),2020-04-22,1.0577,1.0577,0.1515,0.4081,1.5847,0.8582,4.4023,,,,1.8979,5.7594,0.08%,http://fund.eastmoney.com/	007255.html
hh,	008162,浦银安盛经济带崛起混合C,2020-04-24,1.1109,1.1369,-0.1528,0.4067,3.1381,0.7345,,,,,1.1904,3.3426,0.00%,http://fund.eastmoney.com/	008162.html
hh,	001017,泰达改革动力混合A,2020-04-24,1.3617,1.5917,-0.5187,0.4055,8.3983,-0.1394,4.6254,3.1982,10.6803,16.7338,-0.8952,60.9870,0.15%,http://fund.eastmoney.com/	001017.html
hh,	040005,华安宏利混合,2020-04-24,5.1268,5.7468,-0.6627,0.4054,6.7994,0.5019,2.7889,9.9511,28.9956,56.0575,-4.3258,551.4511,0.15%,http://fund.eastmoney.com/	040005.html
hh,	001359,国联安添鑫灵活配置混合A,2020-04-24,1.2678,1.2978,-0.1811,0.4039,9.5103,7.2044,12.6833,25.7738,20.1820,30.4321,5.0112,30.5346,0.15%,http://fund.eastmoney.com/	001359.html
hh,	006528,富国优质发展混合C,2020-04-24,1.3190,1.3190,-0.5954,0.4034,5.9268,1.2746,20.8650,26.4379,,,3.9074,31.90,0.00%,http://fund.eastmoney.com/	006528.html
hh,	008681,鹏华价值成长混合,2020-04-24,1.0205,1.0205,-0.3807,0.4034,6.0811,,,,,,,2.05,0.15%,http://fund.eastmoney.com/	008681.html
hh,	006643,华泰柏瑞核心优势混合,2020-04-24,1.1211,1.1211,-2.1044,0.4030,11.1320,5.8041,8.3398,8.6337,,,4.7659,12.11,0.15%,http://fund.eastmoney.com/	006643.html
hh,	160722,嘉实惠泽混合(LOF),2020-04-24,1.1979,1.2223,-0.9836,0.4023,5.4954,-1.6744,5.4211,10.8038,18.6981,22.8332,-3.0197,22.6367,0.15%,http://fund.eastmoney.com/	160722.html
hh,	005823,泰康颐享混合A,2020-04-24,1.1748,1.1748,-0.1615,0.4017,3.0346,3.9094,6.9264,9.1619,,,4.2321,17.48,0.12%,http://fund.eastmoney.com/	005823.html
hh,	003550,泰达改革动力混合C,2020-04-24,1.4579,1.4579,-0.5186,0.3995,8.37,-0.2190,9.1897,7.3486,16.6974,24.8203,-0.9914,22.8016,0.00%,http://fund.eastmoney.com/	003550.html
hh,	002617,中银益利混合C,2020-04-24,1.2580,1.3110,-0.0794,0.3990,1.5335,1.1254,5.2719,9.6774,22.7376,31.1309,2.2764,32.3111,0.00%,http://fund.eastmoney.com/	002617.html
hh,	002494,兴业聚盈灵活配置混合,2020-04-24,1.26,1.26,-0.1585,0.3984,3.3634,5,8.0617,15.9154,15.4904,21.6216,5.6161,26,0.15%,http://fund.eastmoney.com/	002494.html
hh,	004913,中银证券聚瑞混合A,2020-04-24,1.1357,1.1357,-0.3772,0.3978,1.1940,3.3864,12.4790,11.7265,13.6268,,4.4226,13.57,0.10%,http://fund.eastmoney.com/	004913.html
hh,	006336,泓德量化精选混合,2020-04-24,1.1622,1.1622,-0.9376,0.3974,10.5594,3.8514,16.5580,,,,7.1350,16.1968,0.15%,http://fund.eastmoney.com/	006336.html
hh,	005164,富荣福锦混合A,2020-04-24,1.1633,1.1633,-0.3341,0.3970,10.8010,6.3054,10.6324,19.3128,15.7858,,5.9858,16.33,0.15%,http://fund.eastmoney.com/	005164.html
hh,	004774,添富添福吉祥混合,2020-04-24,1.1646,1.1646,-0.0944,0.3966,2.6713,2.5266,3.0893,5.9112,8.8818,,1.9344,16.46,0.10%,http://fund.eastmoney.com/	004774.html
hh,	004852,广发价值回报混合A,2020-04-24,1.1395,1.1395,-0.0877,0.3965,2.5930,2.5099,3.9785,5.4507,9.8631,,2.7039,13.95,0.12%,http://fund.eastmoney.com/	004852.html
hh,	002708,大摩健康产业混合,2020-04-24,2.0270,2.0270,-1.6019,0.3962,12.5486,16.6283,32.2244,54.1445,73.3961,93.4160,26.9255,102.70,0.15%,http://fund.eastmoney.com/	002708.html
hh,	005824,泰康颐享混合C,2020-04-24,1.1669,1.1669,-0.1626,0.3958,3.0011,3.8260,6.7222,8.7512,,,4.1317,16.69,0.00%,http://fund.eastmoney.com/	005824.html
hh,	001571,嘉合磐石A,2020-04-24,1.0929,1.3429,0.0366,0.3951,2.5043,3.9570,5.5973,8.4663,17.8909,22.9682,4.9151,37.3555,0.12%,http://fund.eastmoney.com/	001571.html
